,0,1,2
0,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
1,1.3.6.1.4.1.14519.5.2.1.6279.6001.108197895896446896160048741492,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
2,1.3.6.1.4.1.14519.5.2.1.6279.6001.109002525524522225658609808059,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
3,1.3.6.1.4.1.14519.5.2.1.6279.6001.111172165674661221381920536987,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
4,1.3.6.1.4.1.14519.5.2.1.6279.6001.122763913896761494371822656720,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
5,1.3.6.1.4.1.14519.5.2.1.6279.6001.124154461048929153767743874565,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
6,1.3.6.1.4.1.14519.5.2.1.6279.6001.126121460017257137098781143514,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
7,1.3.6.1.4.1.14519.5.2.1.6279.6001.126264578931778258890371755354,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
8,1.3.6.1.4.1.14519.5.2.1.6279.6001.128023902651233986592378348912,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.9999999999999999)"
9,1.3.6.1.4.1.14519.5.2.1.6279.6001.129055977637338639741695800950,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
10,1.3.6.1.4.1.14519.5.2.1.6279.6001.130438550890816550994739120843,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
11,1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
12,1.3.6.1.4.1.14519.5.2.1.6279.6001.137763212752154081977261297097,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
13,1.3.6.1.4.1.14519.5.2.1.6279.6001.138080888843357047811238713686,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
14,1.3.6.1.4.1.14519.5.2.1.6279.6001.139258777898746693365877042411,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
15,1.3.6.1.4.1.14519.5.2.1.6279.6001.139713436241461669335487719526,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
16,1.3.6.1.4.1.14519.5.2.1.6279.6001.141069661700670042960678408762,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
17,1.3.6.1.4.1.14519.5.2.1.6279.6001.144438612068946916340281098509,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
18,1.3.6.1.4.1.14519.5.2.1.6279.6001.146429221666426688999739595820,0,"(0.9999999999999999, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 1.0)"
19,1.3.6.1.4.1.14519.5.2.1.6279.6001.154677396354641150280013275227,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
20,1.3.6.1.4.1.14519.5.2.1.6279.6001.187451715205085403623595258748,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
21,1.3.6.1.4.1.14519.5.2.1.6279.6001.188209889686363159853715266493,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
22,1.3.6.1.4.1.14519.5.2.1.6279.6001.188376349804761988217597754952,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
23,1.3.6.1.4.1.14519.5.2.1.6279.6001.194440094986948071643661798326,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
24,1.3.6.1.4.1.14519.5.2.1.6279.6001.194465340552956447447896167830,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
25,1.3.6.1.4.1.14519.5.2.1.6279.6001.202811684116768680758082619196,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
26,1.3.6.1.4.1.14519.5.2.1.6279.6001.210837812047373739447725050963,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
27,1.3.6.1.4.1.14519.5.2.1.6279.6001.213140617640021803112060161074,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
28,1.3.6.1.4.1.14519.5.2.1.6279.6001.216882370221919561230873289517,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
29,1.3.6.1.4.1.14519.5.2.1.6279.6001.219087313261026510628926082729,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
30,1.3.6.1.4.1.14519.5.2.1.6279.6001.219909753224298157409438012179,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
31,1.3.6.1.4.1.14519.5.2.1.6279.6001.227962600322799211676960828223,0,"(0.9999999999999999, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 1.0)"
32,1.3.6.1.4.1.14519.5.2.1.6279.6001.231645134739451754302647733304,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
33,1.3.6.1.4.1.14519.5.2.1.6279.6001.238522526736091851696274044574,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
34,1.3.6.1.4.1.14519.5.2.1.6279.6001.241570579760883349458693655367,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
35,1.3.6.1.4.1.14519.5.2.1.6279.6001.249530219848512542668813996730,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
36,1.3.6.1.4.1.14519.5.2.1.6279.6001.250438451287314206124484591986,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
37,1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
38,1.3.6.1.4.1.14519.5.2.1.6279.6001.269689294231892620436462818860,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
39,1.3.6.1.4.1.14519.5.2.1.6279.6001.272042302501586336192628818865,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
40,1.3.6.1.4.1.14519.5.2.1.6279.6001.277445975068759205899107114231,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
41,1.3.6.1.4.1.14519.5.2.1.6279.6001.278660284797073139172446973682,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
42,1.3.6.1.4.1.14519.5.2.1.6279.6001.280972147860943609388015648430,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
43,1.3.6.1.4.1.14519.5.2.1.6279.6001.281489753704424911132261151767,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
44,1.3.6.1.4.1.14519.5.2.1.6279.6001.293757615532132808762625441831,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
45,1.3.6.1.4.1.14519.5.2.1.6279.6001.294188507421106424248264912111,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
46,1.3.6.1.4.1.14519.5.2.1.6279.6001.295298571102631191572192562523,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
47,1.3.6.1.4.1.14519.5.2.1.6279.6001.295420274214095686326263147663,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
48,1.3.6.1.4.1.14519.5.2.1.6279.6001.302134342469412607966016057827,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
49,1.3.6.1.4.1.14519.5.2.1.6279.6001.303421828981831854739626597495,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
50,1.3.6.1.4.1.14519.5.2.1.6279.6001.305858704835252413616501469037,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
51,1.3.6.1.4.1.14519.5.2.1.6279.6001.310548927038333190233889983845,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
52,1.3.6.1.4.1.14519.5.2.1.6279.6001.310626494937915759224334597176,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.9999999999999999)"
53,1.3.6.1.4.1.14519.5.2.1.6279.6001.311981398931043315779172047718,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
54,1.3.6.1.4.1.14519.5.2.1.6279.6001.313334055029671473836954456733,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
55,1.3.6.1.4.1.14519.5.2.1.6279.6001.313605260055394498989743099991,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
56,1.3.6.1.4.1.14519.5.2.1.6279.6001.313835996725364342034830119490,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
57,1.3.6.1.4.1.14519.5.2.1.6279.6001.317087518531899043292346860596,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
58,1.3.6.1.4.1.14519.5.2.1.6279.6001.323302986710576400812869264321,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
59,1.3.6.1.4.1.14519.5.2.1.6279.6001.323859712968543712594665815359,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
60,1.3.6.1.4.1.14519.5.2.1.6279.6001.332453873575389860371315979768,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
61,1.3.6.1.4.1.14519.5.2.1.6279.6001.333145094436144085379032922488,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
62,1.3.6.1.4.1.14519.5.2.1.6279.6001.334517907433161353885866806005,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
63,1.3.6.1.4.1.14519.5.2.1.6279.6001.395623571499047043765181005112,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
64,1.3.6.1.4.1.14519.5.2.1.6279.6001.397062004302272014259317520874,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
65,1.3.6.1.4.1.14519.5.2.1.6279.6001.404364125369979066736354549484,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
66,1.3.6.1.4.1.14519.5.2.1.6279.6001.417815314896088956784723476543,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
67,1.3.6.1.4.1.14519.5.2.1.6279.6001.430109407146633213496148200410,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
68,1.3.6.1.4.1.14519.5.2.1.6279.6001.450501966058662668272378865145,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
69,1.3.6.1.4.1.14519.5.2.1.6279.6001.511347030803753100045216493273,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
70,1.3.6.1.4.1.14519.5.2.1.6279.6001.525937963993475482158828421281,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
71,1.3.6.1.4.1.14519.5.2.1.6279.6001.534006575256943390479252771547,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
72,1.3.6.1.4.1.14519.5.2.1.6279.6001.534083630500464995109143618896,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
73,1.3.6.1.4.1.14519.5.2.1.6279.6001.564534197011295112247542153557,0,"(0.9999999999999999, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 1.0)"
74,1.3.6.1.4.1.14519.5.2.1.6279.6001.566816709786169715745131047975,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
75,1.3.6.1.4.1.14519.5.2.1.6279.6001.621916089407825046337959219998,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
76,1.3.6.1.4.1.14519.5.2.1.6279.6001.640729228179368154416184318668,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
77,1.3.6.1.4.1.14519.5.2.1.6279.6001.657775098760536289051744981056,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.9999999999999999)"
78,1.3.6.1.4.1.14519.5.2.1.6279.6001.716498695101447665580610403574,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
79,1.3.6.1.4.1.14519.5.2.1.6279.6001.724251104254976962355686318345,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
80,1.3.6.1.4.1.14519.5.2.1.6279.6001.752756872840730509471096155114,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
81,1.3.6.1.4.1.14519.5.2.1.6279.6001.805925269324902055566754756843,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
82,1.3.6.1.4.1.14519.5.2.1.6279.6001.826812708000318290301835871780,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.9999999999999999)"
83,1.3.6.1.4.1.14519.5.2.1.6279.6001.832260670372728970918746541371,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
84,1.3.6.1.4.1.14519.5.2.1.6279.6001.868211851413924881662621747734,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
85,1.3.6.1.4.1.14519.5.2.1.6279.6001.898642529028521482602829374444,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
86,1.3.6.1.4.1.14519.5.2.1.6279.6001.905371958588660410240398317235,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
87,1.3.6.1.4.1.14519.5.2.1.6279.6001.975254950136384517744116790879,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
88,1.3.6.1.4.1.14519.5.2.1.6279.6001.979083010707182900091062408058,0,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
89,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866,1,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
90,1.3.6.1.4.1.14519.5.2.1.6279.6001.104562737760173137525888934217,1,"(0.9999999999999999, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 1.0)"
91,1.3.6.1.4.1.14519.5.2.1.6279.6001.106719103982792863757268101375,1,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
92,1.3.6.1.4.1.14519.5.2.1.6279.6001.108231420525711026834210228428,1,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
93,1.3.6.1.4.1.14519.5.2.1.6279.6001.111017101339429664883879536171,1,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
94,1.3.6.1.4.1.14519.5.2.1.6279.6001.113697708991260454310623082679,1,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
95,1.3.6.1.4.1.14519.5.2.1.6279.6001.114218724025049818743426522343,1,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
96,1.3.6.1.4.1.14519.5.2.1.6279.6001.121824995088859376862458155637,1,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
97,1.3.6.1.4.1.14519.5.2.1.6279.6001.128059192202504367870633619224,1,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
98,1.3.6.1.4.1.14519.5.2.1.6279.6001.128881800399702510818644205032,1,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
99,1.3.6.1.4.1.14519.5.2.1.6279.6001.134370886216012873213579659366,1,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
100,1.3.6.1.4.1.14519.5.2.1.6279.6001.139595277234735528205899724196,1,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
101,1.3.6.1.4.1.14519.5.2.1.6279.6001.140527383975300992150799777603,1,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
102,1.3.6.1.4.1.14519.5.2.1.6279.6001.144943344795414353192059796098,1,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
103,1.3.6.1.4.1.14519.5.2.1.6279.6001.145759169833745025756371695397,1,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
104,1.3.6.1.4.1.14519.5.2.1.6279.6001.146603910507557786636779705509,1,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
105,1.3.6.1.4.1.14519.5.2.1.6279.6001.152684536713461901635595118048,1,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
106,1.3.6.1.4.1.14519.5.2.1.6279.6001.161002239822118346732951898613,1,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
107,1.3.6.1.4.1.14519.5.2.1.6279.6001.161073793312426102774780216551,1,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
108,1.3.6.1.4.1.14519.5.2.1.6279.6001.162207236104936931957809623059,1,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
109,1.3.6.1.4.1.14519.5.2.1.6279.6001.162718361851587451505896742103,1,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
110,1.3.6.1.4.1.14519.5.2.1.6279.6001.162901839201654862079549658100,1,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
111,1.3.6.1.4.1.14519.5.2.1.6279.6001.163994693532965040247348251579,1,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
112,1.3.6.1.4.1.14519.5.2.1.6279.6001.168037818448885856452592057286,1,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
113,1.3.6.1.4.1.14519.5.2.1.6279.6001.168605638657404145360275453085,1,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
114,1.3.6.1.4.1.14519.5.2.1.6279.6001.169128136262002764211589185953,1,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
115,1.3.6.1.4.1.14519.5.2.1.6279.6001.171919524048654494439256263785,1,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
